
A T O M   T Y P E S

IDX	TYPE	RING
 5540    355.38849    355.38925
 5550    355.38071    355.38152
 5560    355.37237    355.37324
 5570    355.36331    355.36426
 5580    355.35331    355.35437
 5590    355.34209    355.34329
 5600    355.32923    355.33062
 5610    355.31411    355.31577
 5620    355.29576    355.29781
 5630    355.27250    355.27516
 5640    355.24114    355.24487
 5650    355.21692    355.21750
 5660    355.21103    355.21163
 5670    355.20496    355.20558
 5680    355.19859    355.19925
 5690    355.19185    355.19255
 5700    355.18461    355.18537
 5710    355.17673    355.17756
 5720    355.16802    355.16894
 5730    355.15819    355.15925
 5740    355.14687    355.14810
 5750    355.13345    355.13493
 5760    355.11696    355.11882
 5770    355.09572    355.09817
 5780    355.06633    355.06988
 5790    355.04797    355.04847
 5800    355.04294    355.04345
 5810    355.03778    355.03831
 5820    355.03242    355.03297
 5830    355.02677    355.02736
 5840    355.02075    355.02138
 5850    355.01424    355.01493
 5860    355.00709    355.00784
 5870    354.99907    354.99992
 5880    354.98988    354.99087
 5890    354.97907    354.98026
 5900    354.96590    354.96737
 5910    354.94911    354.95104
 5920    354.92625    354.92899
 5930    354.89911    354.89967
 5940    354.89469    354.89514
 5950    354.89021    354.89067
 5960    354.88555    354.88603
 5970    354.88065    354.88115
 5980    354.87540    354.87595
 5990    354.86971    354.87031
 6000    354.86342    354.86409
 6010    354.85633    354.85709
 6020    354.84813    354.84902
 6030    354.83836    354.83944
 6040    354.82624    354.82761
 6050    354.81041    354.81226
 6060    354.78801    354.79076
 6070    354.76966    354.77006
 6080    354.76563    354.76605
 6090    354.76141    354.76185
 6100    354.75691    354.75738
 6110    354.75203    354.75255
 6120    354.74666    354.74723
 6130    354.74059    354.74125
 6140    354.73358    354.73435
 6150    354.72521    354.72614
 6160    354.71480    354.71598
 6170    354.70113    354.70273
 6180    354.68162    354.68403
 6190    354.66682    354.66718
 6200    354.66313    354.66351
 6210    354.65922    354.65963
 6220    354.65499    354.65543
 6230    354.65032    354.65082
 6240    354.64506    354.64563
 6250    354.63897    354.63963
 6260    354.63168    354.63249
 6270    354.62258    354.62362
 6280    354.61054    354.61196
 6290    354.59318    354.59534
 6300    354.57516    354.57546
 6310    354.57213    354.57244
 6320    354.56897    354.56930
 6330    354.56564    354.56599
 6340    354.56206    354.56244
 6350    354.55813    354.55855
 6360    354.55373    354.55420
 6370    354.54865    354.54920
 6380    354.54260    354.54327
 6390    354.53508    354.53593
 6400    354.52518    354.52634
 6410    354.51101    354.51276
 6420    354.49658    354.49687
 6430    354.49359    354.49390
 6440    354.49037    354.49071
 6450    354.48682    354.48720
 6460    354.48282    354.48325
 6470    354.47816    354.47867
 6480    354.47254    354.47317
 6490    354.46544    354.46626
 6500    354.45587    354.45701
 6510    354.44160    354.44340
 6520    354.43024    354.43047
 6530    354.42790    354.42814
 6540    354.42553    354.42577
 6550    354.42308    354.42333
 6560    354.42051    354.42077
 6570    354.41775    354.41803
 6580    354.41472    354.41504
 6590    354.41131    354.41167
 6600    354.40736    354.40779
 6610    354.40260    354.40313
 6620    354.39660    354.39728
 6630    354.38851    354.38947
 6640    354.37646    354.37799
 6650    354.36456    354.36477
 6660    354.36248    354.36269
 6670    354.36035    354.36057
 6680    354.35815    354.35837
 6690    354.35580    354.35605
 6700    354.35325    354.35352
 6710    354.35042    354.35072
 6720    354.34717    354.34752
 6730    354.34330    354.34372
 6740    354.33848    354.33903
 6750    354.33212    354.33287
 6760    354.32292    354.32406
 6770    354.30931    354.30983
 6780    354.30710    354.30729
 6790    354.30516    354.30536
 6800    354.30312    354.30333
 6810    354.30092    354.30115
 6820    354.29848    354.29874
 6830    354.29571    354.29601
 6840    354.29243    354.29279
 6850    354.28838    354.28884
 6860    354.28307    354.28369
 6870    354.27548    354.27642
 6880    354.26301    354.26470
 6890    354.25809    354.25825
 6900    354.25643    354.25659
 6910    354.25473    354.25491
 6920    354.25297    354.25315
 6930    354.25109    354.25128
 6940    354.24902    354.24924
 6950    354.24670    354.24695
 6960    354.24398    354.24428
 6970    354.24066    354.24103
 6980    354.23637    354.23687
 6990    354.23037    354.23110
 7000    354.22085    354.22211
 7010    354.21099    354.21114
 7020    354.20949    354.20965
 7030    354.20794    354.20810
 7040    354.20630    354.20647
 7050    354.20450    354.20469
 7060    354.20248    354.20270
 7070    354.20013    354.20038
 7080    354.19726    354.19758
 7090    354.19355    354.19398
 7100    354.18837    354.18900
 7110    354.18013    354.18122
 7120    354.17175    354.17188
 7130    354.17041    354.17055
 7140    354.16905    354.16919
 7150    354.16764    354.16778
 7160    354.16611    354.16627
 7170    354.16442    354.16461
 7180    354.16249    354.16270
 7190    354.16018    354.16044
 7200    354.15726    354.15760
 7210    354.15332    354.15379
 7220    354.14737    354.14813
 7230    354.13671    354.13807
 7240    354.13417    354.13430
 7250    354.13298    354.13310
 7260    354.13178    354.13190
 7270    354.13057    354.13069
 7280    354.12929    354.12942
 7290    354.12791    354.12806
 7300    354.12637    354.12654
 7310    354.12459    354.12478
 7320    354.12242    354.12266
 7330    354.11962    354.11994
 7340    354.11569    354.11617
 7350    354.10939    354.11023
 7360    354.10061    354.10074
 7370    354.09952    354.09963
 7380    354.09841    354.09853
 7390    354.09724    354.09736
 7400    354.09596    354.09609
 7410    354.09450    354.09466
 7420    354.09278    354.09297
 7430    354.09063    354.09087
 7440    354.08774    354.08808
 7450    354.08343    354.08398
 7460    354.07570    354.07680
 7470    354.07134    354.07145
 7480    354.07011    354.07024
 7490    354.06869    354.06885
 7500    354.06697    354.06716
 7510    354.06474    354.06500
 7520    354.06159    354.06198
 7530    354.05646    354.05715
 7540    354.05192    354.05201
 7550    354.05091    354.05101
 7560    354.04979    354.04991
 7570    354.04850    354.04864
 7580    354.04694    354.04711
 7590    354.04491    354.04515
 7600    354.04205    354.04240
 7610    354.03736    354.03799
 7620    354.02888    354.02904
 7630    354.02788    354.02797
 7640    354.02705    354.02713
 7650    354.02623    354.02631
 7660    354.02539    354.02547
 7670    354.02450    354.02459
 7680    354.02353    354.02364
 7690    354.02242    354.02254
 7700    354.02109    354.02124
 7710    354.01937    354.01957
 7720    354.01697    354.01727
 7730    354.01312    354.01363
 7740    354.00508    354.00629
 7750    354.00309    354.00317
 7760    354.00232    354.00240
 7770    354.00148    354.00157
 7780    354.00055    354.00065
 7790    353.99946    353.99958
 7800    353.99809    353.99825
 7810    353.99624    353.99646
 7820    353.99343    353.99379
 7830    353.98816    353.98894
 7840    353.98451    353.98458
 7850    353.98382    353.98389
 7860    353.98310    353.98317
 7870    353.98231    353.98239
 7880    353.98140    353.98150
 7890    353.98032    353.98044
 7900    353.97891    353.97907
 7910    353.97689    353.97714
 7920    353.97353    353.97399
 7930    353.96695    353.96716
 7940    353.96621    353.96628
 7950    353.96552    353.96560
 7960    353.96476    353.96484
 7970    353.96386    353.96396
 7980    353.96273    353.96286
 7990    353.96118    353.96137
 8000    353.95876    353.95908
 8010    353.95398    353.95472
 8020    353.95068    353.95073
 8030    353.95009    353.95015
 8040    353.94946    353.94952
 8050    353.94875    353.94883
 8060    353.94791    353.94800
 8070    353.94684    353.94696
 8080    353.94534    353.94552
 8090    353.94289    353.94322
 8100    353.93773    353.93848
 8110    353.93643    353.93649
 8120    353.93576    353.93583
 8130    353.93496    353.93505
 8140    353.93391    353.93403
 8150    353.93240    353.93259
 8160    353.92981    353.93017
 8170    353.92493    353.92502
 8180    353.92442    353.92447
 8190    353.92387    353.92393
 8200    353.92325    353.92332
 8210    353.92250    353.92259
 8220    353.92151    353.92163
 8230    353.92006    353.92025
 8240    353.91747    353.91784
 8250    353.91169    353.91180
 8260    353.91117    353.91122
 8270    353.91069    353.91074
 8280    353.91016    353.91021
 8290    353.90952    353.90959
 8300    353.90870    353.90880
 8310    353.90753    353.90768
 8320    353.90556    353.90583
 8330    353.90082    353.90163
 8340    353.89956    353.89960
 8350    353.89911    353.89916
 8360    353.89861    353.89866
 8370    353.89800    353.89807
 8380    353.89719    353.89729
 8390    353.89600    353.89615
 8400    353.89382    353.89413
 8410    353.88883    353.88889
 8420    353.88841    353.88845
 8430    353.88802    353.88806
 8440    353.88764    353.88768
 8450    353.88725    353.88729
 8460    353.88681    353.88685
 8470    353.88628    353.88634
 8480    353.88561    353.88569
 8490    353.88463    353.88475
 8500    353.88289    353.88314
 8510    353.87864    353.87910
 8520    353.87787    353.87791
 8530    353.87751    353.87754
 8540    353.87710    353.87714
 8550    353.87660    353.87666
 8560    353.87595    353.87603
 8570    353.87497    353.87510
 8580    353.87313    353.87340
 8590    353.86942    353.86946
 8600    353.86908    353.86911
 8610    353.86875    353.86879
 8620    353.86843    353.86847
 8630    353.86809    353.86813
 8640    353.86770    353.86774
 8650    353.86721    353.86727
 8660    353.86655    353.86663
